TIME,CH1
-8.612e-06,0.1496
-8.610e-06,0.1432
-8.608e-06,0.1496
-8.606e-06,0.1592
-8.604e-06,0.1632
-8.602e-06,0.1536
-8.600e-06,0.1448
-8.598e-06,0.144
-8.596e-06,0.1552
-8.594e-06,0.1632
-8.592e-06,0.1592
-8.590e-06,0.148
-8.588e-06,0.1408
-8.586e-06,0.1488
-8.584e-06,0.1616
-8.582e-06,0.1648
-8.580e-06,0.152
-8.578e-06,0.14
-8.576e-06,0.144
-8.574e-06,0.1584
-8.572e-06,0.1648
-8.570e-06,0.1552
-8.568e-06,0.1424
-8.566e-06,0.1424
-8.564e-06,0.1552
-8.562e-06,0.1656
-8.560e-06,0.1608
-8.558e-06,0.1464
-8.556e-06,0.14
-8.554e-06,0.1504
-8.552e-06,0.1616
-8.550e-06,0.1632
-8.548e-06,0.1512
-8.546e-06,0.1432
-8.544e-06,0.1488
-8.542e-06,0.1608
-8.540e-06,0.164
-8.538e-06,0.1528
-8.536e-06,0.1432
-8.534e-06,0.1464
-8.532e-06,0.1552
-8.530e-06,0.1624
-8.528e-06,0.156
-8.526e-06,0.1472
-8.524e-06,0.1464
-8.522e-06,0.152
-8.520e-06,0.1608
-8.518e-06,0.1584
-8.516e-06,0.1496
-8.514e-06,0.144
-8.512e-06,0.1504
-8.510e-06,0.156
-8.508e-06,0.1584
-8.506e-06,0.1512
-8.504e-06,0.1448
-8.502e-06,0.1464
-8.500e-06,0.1536
-8.498e-06,0.1592
-8.496e-06,0.1552
-8.494e-06,0.148
-8.492e-06,0.1464
-8.490e-06,0.1528
-8.488e-06,0.1592
-8.486e-06,0.156
-8.484e-06,0.1488
-8.482e-06,0.1464
-8.480e-06,0.152
-8.478e-06,0.16
-8.476e-06,0.1576
-8.474e-06,0.1504
-8.472e-06,0.1464
-8.470e-06,0.1504
-8.468e-06,0.1584
-8.466e-06,0.1592
-8.464e-06,0.152
-8.462e-06,0.1472
-8.460e-06,0.1488
-8.458e-06,0.156
-8.456e-06,0.1584
-8.454e-06,0.1536
-8.452e-06,0.148
-8.450e-06,0.148
-8.448e-06,0.1536
-8.446e-06,0.16
-8.444e-06,0.1552
-8.442e-06,0.1496
-8.440e-06,0.148
-8.438e-06,0.1512
-8.436e-06,0.1568
-8.434e-06,0.1576
-8.432e-06,0.1528
-8.430e-06,0.1472
-8.428e-06,0.1456
-8.426e-06,0.1528
-8.424e-06,0.1576
-8.422e-06,0.156
-8.420e-06,0.1496
-8.418e-06,0.1456
-8.416e-06,0.152
-8.414e-06,0.1584
-8.412e-06,0.1584
-8.410e-06,0.1504
-8.408e-06,0.1448
-8.406e-06,0.1488
-8.404e-06,0.1576
-8.402e-06,0.1608
-8.400e-06,0.1528
-8.398e-06,0.1456
-8.396e-06,0.1456
-8.394e-06,0.156
-8.392e-06,0.1608
-8.390e-06,0.1544
-8.388e-06,0.1456
-8.386e-06,0.1432
-8.384e-06,0.1528
-8.382e-06,0.1592
-8.380e-06,0.1568
-8.378e-06,0.1488
-8.376e-06,0.1448
-8.374e-06,0.1496
-8.372e-06,0.1576
-8.370e-06,0.1592
-8.368e-06,0.1504
-8.366e-06,0.1456
-8.364e-06,0.1488
-8.362e-06,0.156
-8.360e-06,0.16
-8.358e-06,0.1552
-8.356e-06,0.1488
-8.354e-06,0.1464
-8.352e-06,0.1544
-8.350e-06,0.1584
-8.348e-06,0.156
-8.346e-06,0.1512
-8.344e-06,0.1456
-8.342e-06,0.1496
-8.340e-06,0.156
-8.338e-06,0.1592
-8.336e-06,0.1528
-8.334e-06,0.1472
-8.332e-06,0.1488
-8.330e-06,0.1544
-8.328e-06,0.1592
-8.326e-06,0.1544
-8.324e-06,0.1472
-8.322e-06,0.1464
-8.320e-06,0.1536
-8.318e-06,0.1592
-8.316e-06,0.1568
-8.314e-06,0.1496
-8.312e-06,0.1456
-8.310e-06,0.1504
-8.308e-06,0.1592
-8.306e-06,0.1592
-8.304e-06,0.1512
-8.302e-06,0.1448
-8.300e-06,0.1496
-8.298e-06,0.1592
-8.296e-06,0.1616
-8.294e-06,0.1528
-8.292e-06,0.1464
-8.290e-06,0.148
-8.288e-06,0.1584
-8.286e-06,0.1624
-8.284e-06,0.1552
-8.282e-06,0.148
-8.280e-06,0.1448
-8.278e-06,0.1552
-8.276e-06,0.1616
-8.274e-06,0.1576
-8.272e-06,0.1472
-8.270e-06,0.1448
-8.268e-06,0.1528
-8.266e-06,0.1592
-8.264e-06,0.1568
-8.262e-06,0.1488
-8.260e-06,0.1448
-8.258e-06,0.1504
-8.256e-06,0.1584
-8.254e-06,0.16
-8.252e-06,0.1536
-8.250e-06,0.1456
-8.248e-06,0.1456
-8.246e-06,0.1552
-8.244e-06,0.164
-8.242e-06,0.1608
-8.240e-06,0.152
-8.238e-06,0.1472
-8.236e-06,0.152
-8.234e-06,0.1616
-8.232e-06,0.1624
-8.230e-06,0.1512
-8.228e-06,0.1368
-8.226e-06,0.1336
-8.224e-06,0.1408
-8.222e-06,0.1504
-8.220e-06,0.148
-8.218e-06,0.1384
-8.216e-06,0.1344
-8.214e-06,0.1432
-8.212e-06,0.1584
-8.210e-06,0.164
-8.208e-06,0.1592
-8.206e-06,0.1528
-8.204e-06,0.1584
-8.202e-06,0.1712
-8.200e-06,0.1784
-8.198e-06,0.172
-8.196e-06,0.1616
-8.194e-06,0.1576
-8.192e-06,0.1664
-8.190e-06,0.172
-8.188e-06,0.1624
-8.186e-06,0.1432
-8.184e-06,0.1336
-8.182e-06,0.1392
-8.180e-06,0.1464
-8.178e-06,0.1464
-8.176e-06,0.1344
-8.174e-06,0.1272
-8.172e-06,0.136
-8.170e-06,0.1512
-8.168e-06,0.1584
-8.166e-06,0.1552
-8.164e-06,0.1496
-8.162e-06,0.1504
-8.160e-06,0.164
-8.158e-06,0.1744
-8.156e-06,0.1704
-8.154e-06,0.1608
-8.152e-06,0.1568
-8.150e-06,0.1648
-8.148e-06,0.1712
-8.146e-06,0.1664
-8.144e-06,0.1536
-8.142e-06,0.1424
-8.140e-06,0.1432
-8.138e-06,0.1512
-8.136e-06,0.152
-8.134e-06,0.1448
-8.132e-06,0.1336
-8.130e-06,0.1352
-8.128e-06,0.1456
-8.126e-06,0.1568
-8.124e-06,0.156
-8.122e-06,0.144
-8.120e-06,0.1424
-8.118e-06,0.1528
-8.116e-06,0.1656
-8.114e-06,0.1672
-8.112e-06,0.1568
-8.110e-06,0.1504
-8.108e-06,0.1536
-8.106e-06,0.164
-8.104e-06,0.1664
-8.102e-06,0.1592
-8.100e-06,0.1504
-8.098e-06,0.148
-8.096e-06,0.1552
-8.094e-06,0.1592
-8.092e-06,0.152
-8.090e-06,0.1448
-8.088e-06,0.1424
-8.086e-06,0.1512
-8.084e-06,0.1568
-8.082e-06,0.156
-8.080e-06,0.148
-8.078e-06,0.144
-8.076e-06,0.1496
-8.074e-06,0.1584
-8.072e-06,0.1608
-8.070e-06,0.152
-8.068e-06,0.1448
-8.066e-06,0.1472
-8.064e-06,0.1568
-8.062e-06,0.1616
-8.060e-06,0.1552
-8.058e-06,0.1464
-8.056e-06,0.144
-8.054e-06,0.152
-8.052e-06,0.1616
-8.050e-06,0.1592
-8.048e-06,0.1488
-8.046e-06,0.144
-8.044e-06,0.1504
