TIME,CH1
-4.1110e-03,0.148
-4.1100e-03,0.148
-4.1090e-03,0.15
-4.1080e-03,0.15
-4.1070e-03,0.148
-4.1060e-03,0.15
-4.1050e-03,0.144
-4.1040e-03,0.136
-4.1030e-03,0.134
-4.1020e-03,0.138
-4.1010e-03,0.134
-4.1000e-03,0.14
-4.0990e-03,0.142
-4.0980e-03,0.138
-4.0970e-03,0.134
-4.0960e-03,0.128
-4.0950e-03,0.132
-4.0940e-03,0.132
-4.0930e-03,0.132
-4.0920e-03,0.132
-4.0910e-03,0.134
-4.0900e-03,0.132
-4.0890e-03,0.126
-4.0880e-03,0.128
-4.0870e-03,0.134
-4.0860e-03,0.13
-4.0850e-03,0.134
-4.0840e-03,0.138
-4.0830e-03,0.14
-4.0820e-03,0.134
-4.0810e-03,0.132
-4.0800e-03,0.128
-4.0790e-03,0.126
-4.0780e-03,0.13
-4.0770e-03,0.132
-4.0760e-03,0.134
-4.0750e-03,0.13
-4.0740e-03,0.126
-4.0730e-03,0.132
-4.0720e-03,0.138
-4.0710e-03,0.128
-4.0700e-03,0.134
-4.0690e-03,0.136
-4.0680e-03,0.136
-4.0670e-03,0.14
-4.0660e-03,0.132
-4.0650e-03,0.132
-4.0640e-03,0.128
-4.0630e-03,0.128
-4.0620e-03,0.126
-4.0610e-03,0.132
-4.0600e-03,0.132
-4.0590e-03,0.132
-4.0580e-03,0.138
-4.0570e-03,0.136
-4.0560e-03,0.136
-4.0550e-03,0.134
-4.0540e-03,0.132
-4.0530e-03,0.132
-4.0520e-03,0.128
-4.0510e-03,0.128
-4.0500e-03,0.132
-4.0490e-03,0.13
-4.0480e-03,0.128
-4.0470e-03,0.132
-4.0460e-03,0.128
-4.0450e-03,0.124
-4.0440e-03,0.128
-4.0430e-03,0.128
-4.0420e-03,0.128
-4.0410e-03,0.132
-4.0400e-03,0.132
-4.0390e-03,0.132
-4.0380e-03,0.13
-4.0370e-03,0.128
-4.0360e-03,0.124
-4.0350e-03,0.126
-4.0340e-03,0.128
-4.0330e-03,0.134
-4.0320e-03,0.136
-4.0310e-03,0.138
-4.0300e-03,0.132
-4.0290e-03,0.134
-4.0280e-03,0.134
-4.0270e-03,0.128
-4.0260e-03,0.136
-4.0250e-03,0.136
-4.0240e-03,0.132
-4.0230e-03,0.136
-4.0220e-03,0.136
-4.0210e-03,0.136
-4.0200e-03,0.134
-4.0190e-03,0.13
-4.0180e-03,0.136
-4.0170e-03,0.136
-4.0160e-03,0.138
-4.0150e-03,0.138
-4.0140e-03,0.138
-4.0130e-03,0.136
-4.0120e-03,0.134
-4.0110e-03,0.136
-4.0100e-03,0.134
-4.0090e-03,0.134
-4.0080e-03,0.14
-4.0070e-03,0.14
-4.0060e-03,0.144
-4.0050e-03,0.146
-4.0040e-03,0.15
-4.0030e-03,0.148
-4.0020e-03,0.148
-4.0010e-03,0.144
-4.0000e-03,0.144
-3.9990e-03,0.146
-3.9980e-03,0.144
-3.9970e-03,0.148
-3.9960e-03,0.15
-3.9950e-03,0.15
-3.9940e-03,0.156
-3.9930e-03,0.16
-3.9920e-03,0.154
-3.9910e-03,0.156
-3.9900e-03,0.158
-3.9890e-03,0.154
-3.9880e-03,0.164
-3.9870e-03,0.164
-3.9860e-03,0.166
-3.9850e-03,0.166
-3.9840e-03,0.166
-3.9830e-03,0.166
-3.9820e-03,0.164
-3.9810e-03,0.164
-3.9800e-03,0.164
-3.9790e-03,0.166
-3.9780e-03,0.172
-3.9770e-03,0.17
-3.9760e-03,0.172
-3.9750e-03,0.166
-3.9740e-03,0.164
-3.9730e-03,0.168
-3.9720e-03,0.172
-3.9710e-03,0.174
-3.9700e-03,0.182
-3.9690e-03,0.184
-3.9680e-03,0.186
-3.9670e-03,0.188
-3.9660e-03,0.186
-3.9650e-03,0.182
-3.9640e-03,0.182
-3.9630e-03,0.178
-3.9620e-03,0.176
-3.9610e-03,0.18
-3.9600e-03,0.182
-3.9590e-03,0.178
-3.9580e-03,0.18
-3.9570e-03,0.18
-3.9560e-03,0.172
-3.9550e-03,0.17
-3.9540e-03,0.172
-3.9530e-03,0.166
-3.9520e-03,0.166
-3.9510e-03,0.168
-3.9500e-03,0.172
-3.9490e-03,0.174
-3.9480e-03,0.174
-3.9470e-03,0.174
-3.9460e-03,0.168
-3.9450e-03,0.168
-3.9440e-03,0.168
